区域id,名称,区域类别,基础产出,生产成本,前置科技,前置市政,是否占区域配额,可建地形,是否特色区域,替换区域id,所属文明id,备注,数据来源,待核
DISTRICT_HIPPODROME,跑马场,专业化,无,27,无,CIVIC_GAMES_RECREATION,是,无,是,DISTRICT_ENTERTAINMENT_COMPLEX,CIVILIZATION_BYZANTIUM,无,一手,否
DISTRICT_HOLY_SITE,圣地,专业化,无,54,TECH_ASTROLOGY,无,是,无,否,无,无,无,一手,否
DISTRICT_IKANDA,伊坎达,专业化,无,27,TECH_BRONZE_WORKING,无,是,无,是,DISTRICT_ENCAMPMENT,CIVILIZATION_ZULU,无,一手,否
DISTRICT_INDUSTRIAL_ZONE,工业区,专业化,无,54,TECH_APPRENTICESHIP,无,是,无,否,无,无,无,一手,否
DISTRICT_LAVRA,拉夫拉修道院,专业化,无,27,TECH_ASTROLOGY,无,是,无,是,DISTRICT_HOLY_SITE,CIVILIZATION_RUSSIA,无,一手,否
DISTRICT_MBANZA,姆班赞,非专业化,无,27,无,CIVIC_GUILDS,否,无,是,DISTRICT_NEIGHBORHOOD,CIVILIZATION_KONGO,无,一手,否
DISTRICT_NEIGHBORHOOD,社区,非专业化,无,54,无,CIVIC_URBANIZATION,否,无,否,无,无,无,一手,否
DISTRICT_OBSERVATORY,天文台,专业化,无,27,TECH_WRITING,无,是,无,是,DISTRICT_CAMPUS,CIVILIZATION_MAYA,无,一手,否
DISTRICT_OPPIDUM,奥皮杜姆,专业化,无,27,TECH_IRON_WORKING,无,是,无,是,DISTRICT_INDUSTRIAL_ZONE,CIVILIZATION_GAUL,无,一手,否
DISTRICT_PRESERVE,保护区,专业化,无,54,无,CIVIC_MYSTICISM,是,无,否,无,无,无,一手,否
DISTRICT_ROYAL_NAVY_DOCKYARD,皇家海军船坞,专业化,无,27,TECH_CELESTIAL_NAVIGATION,无,是,TERRAIN_COAST,是,DISTRICT_HARBOR,CIVILIZATION_ENGLAND,须临海（Coast=true）,一手,否
DISTRICT_SEOWON,书院,专业化,无,27,TECH_WRITING,无,是,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA_HILLS,是,DISTRICT_CAMPUS,CIVILIZATION_KOREA,无,一手,否
DISTRICT_SPACEPORT,宇航中心,非专业化,无,1800,TECH_ROCKETRY,无,否,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,否,无,无,无,一手,否
DISTRICT_STREET_CARNIVAL,街头狂欢节,专业化,无,27,无,CIVIC_GAMES_RECREATION,是,无,是,DISTRICT_ENTERTAINMENT_COMPLEX,CIVILIZATION_BRAZIL,无,一手,否
DISTRICT_SUGUBA,曼丁哥市场,专业化,无,27,TECH_CURRENCY,无,是,无,是,DISTRICT_COMMERCIAL_HUB,CIVILIZATION_MALI,无,一手,否
DISTRICT_THANH,城池,非专业化,无,27,TECH_BRONZE_WORKING,无,否,无,是,DISTRICT_ENCAMPMENT,CIVILIZATION_VIETNAM,无,一手,否
DISTRICT_THEATER,剧院广场,专业化,无,54,无,CIVIC_DRAMA_POETRY,是,无,否,无,无,无,一手,否
DISTRICT_WATER_ENTERTAINMENT_COMPLEX,水上乐园,专业化,无,54,无,CIVIC_NATURAL_HISTORY,是,TERRAIN_COAST,否,无,无,须临海（Coast=true）,一手,否
DISTRICT_WATER_STREET_CARNIVAL,科帕卡瓦纳,专业化,无,27,无,CIVIC_NATURAL_HISTORY,是,TERRAIN_COAST,是,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,CIVILIZATION_BRAZIL,须临海（Coast=true）,一手,否
DISTRICT_WONDER,奇观,非专业化,无,0,无,无,否,无,否,无,无,内部区域,一手,否
