关卡id,坐标,地形,地貌,资源,自然奇观,河流边,初始区域,初始建筑
L-03,"1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"2,-2",TERRAIN_GRASS,无,无,无,无,无,无
L-03,"2,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-03,"2,0",TERRAIN_GRASS,无,无,无,无,无,无
L-03,"2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-3,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-3,1",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"-3,2",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"-3,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,1",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"0,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-05,"0,1",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"0,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"1,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"1,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"1,0",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"1,2",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"3,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"3,-1",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"-3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"-3,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-3,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-3,3",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-06,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-2,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-2,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-06,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"-1,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"0,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"0,-2",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-06,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-06,"0,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"0,2",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"0,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-06,"1,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"2,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"2,0",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"2,1",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"3,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-06,"3,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-06,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"-3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"-3,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-3,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-3,3",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-08,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-2,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-2,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-08,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"-1,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"0,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"0,-2",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-08,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-08,"0,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"0,2",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"0,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-08,"1,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"2,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-08,"2,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"2,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"2,0",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"2,1",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"3,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-08,"3,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-08,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"-3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"-3,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-3,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-3,3",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-09,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-2,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-2,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-09,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"-1,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"0,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"0,-2",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-09,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-09,"0,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"0,2",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"0,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-09,"1,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"2,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-09,"2,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"2,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"2,0",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"2,1",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"3,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-09,"3,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-09,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"-3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"-3,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-3,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-3,3",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-07,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-2,2",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-07,"-2,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"-1,3",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"0,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"0,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-07,"0,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"0,2",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"0,3",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"1,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-07,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"1,2",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"2,-2",TERRAIN_GRASS,无,无,无,无,无,无
L-07,"2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-07,"2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"3,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-07,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"3,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-07,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"-3,0",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"-3,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-3,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-3,3",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-10,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-2,2",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-10,"-2,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"-1,3",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"0,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"0,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-10,"0,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"0,2",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"0,3",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"1,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-10,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"1,2",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"2,-2",TERRAIN_GRASS,无,无,无,无,无,无
L-10,"2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"2,0",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-10,"2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"3,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-10,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"3,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-10,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
