改良设施id,名称,基础产出,可建地形,前置科技,前置市政,备注,数据来源,待核
IMPROVEMENT_MOUND,卡霍基亚土墩,粮食:0|金币:3,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_TUNDRA,无,无,无,一手,否
IMPROVEMENT_MOUNTAIN_ROAD,印加路网,无,TERRAIN_DESERT_MOUNTAIN|TERRAIN_GRASS_MOUNTAIN|TERRAIN_PLAINS_MOUNTAIN|TERRAIN_SNOW_MOUNTAIN|TERRAIN_TUNDRA_MOUNTAIN,无,CIVIC_FOREIGN_TRADE,无,一手,否
IMPROVEMENT_MOUNTAIN_TUNNEL,穿山隧道,无,TERRAIN_DESERT_MOUNTAIN|TERRAIN_GRASS_MOUNTAIN|TERRAIN_PLAINS_MOUNTAIN|TERRAIN_SNOW_MOUNTAIN|TERRAIN_TUNDRA_MOUNTAIN,TECH_CHEMISTRY,无,无,一手,否
IMPROVEMENT_NAZCA_LINE,纳斯卡巨画,无,TERRAIN_DESERT,无,无,无,一手,否
IMPROVEMENT_OFFSHORE_OIL_RIG,海上石油钻机,生产力:2,TERRAIN_COAST|TERRAIN_OCEAN,TECH_PLASTICS,无,无,一手,否
IMPROVEMENT_OFFSHORE_WIND_FARM,离岸风力发电厂,生产力:2,TERRAIN_COAST,TECH_PREDICTIVE_SYSTEMS,无,无,一手,否
IMPROVEMENT_OIL_WELL,油井,生产力:2,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,TECH_REFINING,无,无,一手,否
IMPROVEMENT_OPEN_AIR_MUSEUM,生态博物馆,无,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_NATIONALISM,无,一手,否
IMPROVEMENT_OUTBACK_STATION,内陆牧场,生产力:1|粮食:1,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_PLAINS,无,CIVIC_GUILDS,无,一手,否
IMPROVEMENT_PAIRIDAEZA,波斯庭院,文化:1|金币:2,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS,无,CIVIC_EARLY_EMPIRE,无,一手,否
IMPROVEMENT_PASTURE,牧场,生产力:1|粮食:0,无,TECH_ANIMAL_HUSBANDRY,无,无,一手,否
IMPROVEMENT_PLANTATION,种植园,生产力:0|粮食:0|金币:2,无,TECH_IRRIGATION,无,无,一手,否
IMPROVEMENT_POLDER,圩田,生产力:1|粮食:1|金币:0,TERRAIN_COAST,无,CIVIC_GUILDS,无,一手,否
IMPROVEMENT_PYRAMID,努比亚金字塔,信仰:2|文化:0|生产力:0|科技:0|粮食:2|金币:0,TERRAIN_DESERT|TERRAIN_DESERT_HILLS,TECH_MASONRY,无,无,一手,否
IMPROVEMENT_QUARRY,采石场,生产力:1|金币:0,无,TECH_MINING,无,无,一手,否
IMPROVEMENT_ROCK_HEWN_CHURCH,独石教堂,信仰:1,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA_HILLS,无,CIVIC_DRAMA_POETRY,无,一手,否
IMPROVEMENT_ROMAN_FORT,古罗马堡垒,无,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_SEASTEAD,海洋家园,文化:0|生产力:0|粮食:2,TERRAIN_COAST|TERRAIN_OCEAN,TECH_SEASTEADS,无,无,一手,否
IMPROVEMENT_SKI_RESORT,滑雪场,无,TERRAIN_DESERT_MOUNTAIN|TERRAIN_GRASS_MOUNTAIN|TERRAIN_PLAINS_MOUNTAIN|TERRAIN_SNOW_MOUNTAIN|TERRAIN_TUNDRA_MOUNTAIN,无,CIVIC_PROFESSIONAL_SPORTS,无,一手,否
IMPROVEMENT_SOLAR_FARM,太阳能农场,生产力:1|金币:1,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_TUNDRA,TECH_SATELLITES,无,无,一手,否
IMPROVEMENT_SPHINX,狮身人面像,信仰:1|文化:1,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_CRAFTSMANSHIP,无,一手,否
IMPROVEMENT_STEPWELL,梯井,信仰:0|粮食:1,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,TECH_IRRIGATION,无,无,一手,否
IMPROVEMENT_TERRACE_FARM,梯田农场,生产力:0|粮食:1,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS,无,无,无,一手,否
IMPROVEMENT_TRADING_DOME,圆顶市集,金币:2,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_WIND_FARM,风力发电厂,生产力:1|金币:2,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA_HILLS,TECH_COMPOSITES,无,无,一手,否
IMPROVEMENT_ZIGGURAT,金字形神塔,文化:0|科技:2,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,无,无,无,一手,否
